"Code","Name"
"3043.TW","科風"
"4907.TWO","春雨"
"8287.TWO","英格爾"
"911619.TW","HISAKA"
"6291.TWO","沛亨"
"2325.TW","矽品"
"1529.TW","樂士"
"3055.TW","蔚華科"
"2908.TW","特力"
"6194.TWO","育富"
"8070.TW","長華電材"
"3573.TW","穎台科技"
"913889.TW","大成糖"
"4930.TW","燦星網"
"8054.TWO","安國"
"3303.TWO","岱稜"
"1423.TW","利華羊毛"
"3206.TWO","志豐"
"1469.TW","理隆纖維"
"2374.TW","佳能"
"2462.TW","良得電"
"6220.TWO","岳豐"
"6203.TWO","海韻"
"1732.TW","毛寶"
"2347.TW","聯強"
"1457.TW","宜進"
"3638.TW","F-IML"
"1540.TW","喬福機械"
"6290.TWO","良維"
"6107.TWO","華美"
"5903.TWO","全家"
"3213.TWO","茂訊"
"9944.TW","新麗"
"3230.TWO","錦明"
"6124.TWO","業強"
"3561.TW","昇陽光電"
"8044.TWO","網家"
"1336.TWO","台翰"
"1605.TW","華新麗華"
"2352.TW","佳世達"
"2440.TW","太空梭"
"5820.TWO","日盛金"
"1231.TW","聯華食品"
"0056.TW","高股息"
"6141.TW","柏承科技"
"6508.TWO","惠光"
"8240.TWO","華宏"
"6197.TW","佳必琪"
"2887.TW","台新金"
"4415.TWO","美嘉電"
"1710.TW","東聯化學"
"1435.TW","中福國際"
"4142.TW","國光生技"
"3373.TWO","熱映"
"9910.TW","豐泰企業"
"2496.TW","卓越成功"
"2913.TW","臺灣農林"
"5483.TWO","中美晶"
"3631.TWO","晟楠"
"8101.TW","華冠"
"5521.TW","工信"
"4432.TWO","銘旺"
"2313.TW","華通"
"2038.TW","海光企業"
"1104.TW","環球水泥"
"6130.TWO","基因"
"1517.TW","利奇機械"
"6113.TWO","亞矽"
"3021.TW","衛展資訊"
"6702.TW","復興航空"
"5466.TWO","泰林"
"3390.TWO","旭軟"
"6284.TWO","佳邦"
"910948.TW","Z-OBEE"
"5480.TWO","統盟"
"6276.TWO","安鈦克"
"5251.TWO","天鉞"
"3294.TWO","英濟"
"2609.TW","陽明"
"8071.TWO","能率"
"3642.TWO","駿熠"
"3685.TWO","政翔"
"3059.TW","華晶科"
"4952.TW","凌通科技"
"2014.TW","中鴻"
"1233.TW","天仁"
"2444.TW","友旺"
"2851.TW","中再保"
"3305.TW","昇貿科技"
"5515.TW","建國"
"2524.TW","京城"
"9929.TW","秋雨創新"
"2610.TW","華航"
"3047.TW","訊舟"
"2002.TW","中國鋼鐵"
"3454.TW","晶睿"
"1445.TW","大宇紡織"
"3444.TWO","利機"
"4121.TWO","優盛"
"5234.TW","達興材料"
"2329.TW","華泰"
"1525.TW","江申"
"3266.TWO","昇陽"
"6024.TWO","群益期"
"2816.TW","旺旺保險"
"6605.TW","帝寶"
"2885.TW","元大金"
"3207.TWO","耀勝"
"1584.TWO","精剛"
"3363.TWO","上詮"
"3013.TW","晟銘電"
"3419.TW","譁裕"
"6195.TWO","詩肯"
"1560.TW","中砂"
"006207.TW","FH滬深"
"2233.TWO","宇隆"
"5871.TW","F-中租"
"4934.TW","太極能源"
"911609.TW","揚子江"
"6136.TW","富爾特"
"6105.TWO","瑞傳"
"5304.TWO","鼎創達"
"3537.TWO","堡達"
"1702.TW","南僑化工"
"5533.TW","皇鼎建設"
"0015.TW","富邦"
"3673.TW","F-TPK"
"6140.TWO","訊達"
"1736.TW","喬山"
"8008.TW","建興電"
"2546.TW","根基"
"5395.TWO","圓方"
"5467.TWO","聯福生"
"5904.TWO","寶雅"
"8043.TWO","蜜望實"
"2456.TW","奇力新"
"3593.TW","力銘科技"
"2382.TW","廣達"
"2901.TW","欣欣大眾"
"2340.TW","光磊"
"4523.TWO","永彰"
"2702.TW","華園"
"1617.TW","榮星電線"
"5607.TW","遠雄港"
